# The values in this table are from the official 2014 proto.
VNUM	GOLD_MIN	GOLD_MAX	RESURRECTION_VNUM	POLYMORPH_ITEM	SKILL_LEVEL0	SKILL_VNUM0	SKILL_LEVEL1	SKILL_VNUM1	SKILL_LEVEL2	SKILL_VNUM2	SKILL_LEVEL3	SKILL_VNUM3	SKILL_LEVEL4	SKILL_VNUM4
101	18	27	0	70104	0	0	0	0	0	0	0	0	0	0
102	23	34	0	70104	0	0	0	0	0	0	0	0	0	0
103	25	38	0	70104	0	0	0	0	0	0	0	0	0	0
104	30	45	0	70104	0	0	0	0	0	0	0	0	0	0
105	37	56	0	70104	0	0	0	0	0	0	0	0	0	0
106	47	70	0	70104	0	0	0	0	0	0	0	0	0	0
107	80	120	0	70105	0	0	0	0	0	0	0	0	0	0
108	32	49	0	70104	0	0	0	0	0	0	0	0	0	0
109	56	84	0	70105	0	0	0	0	0	0	0	0	0	0
110	44	67	0	70104	0	0	0	0	0	0	0	0	0	0
111	76	114	0	70105	0	0	0	0	0	0	0	0	0	0
112	61	92	0	70104	0	0	0	0	0	0	0	0	0	0
113	100	150	0	70105	0	0	0	0	0	0	0	0	0	0
114	59	88	0	70104	0	0	0	0	0	0	0	0	0	0
115	112	168	0	70105	0	0	0	0	0	0	0	0	0	0
131	60	91	0	70106	0	0	0	0	0	0	0	0	0	0
132	80	121	0	70107	0	0	0	0	0	0	0	0	0	0
133	77	116	0	70106	0	0	0	0	0	0	0	0	0	0
134	116	175	0	70107	0	0	0	0	0	0	0	0	0	0
135	116	175	0	70106	0	0	0	0	0	0	0	0	0	0
136	167	250	0	70107	0	0	0	0	0	0	0	0	0	0
137	83	124	0	70106	0	0	0	0	0	0	0	0	0	0
138	124	186	0	70107	0	0	0	0	0	0	0	0	0	0
139	111	166	0	70106	0	0	0	0	0	0	0	0	0	0
140	160	240	0	70107	0	0	0	0	0	0	0	0	0	0
141	150	225	0	70106	0	0	0	0	0	0	0	0	0	0
142	203	304	0	70107	0	0	0	0	0	0	0	0	0	0
143	150	225	0	70106	0	0	0	0	0	0	0	0	0	0
144	224	337	0	70107	0	0	0	0	0	0	0	0	0	0
151	50	100	0	0	0	0	0	0	0	0	0	0	0	0
152	100	150	0	0	0	0	0	0	0	0	0	0	0	0
153	60	140	0	0	0	0	0	0	0	0	0	0	0	0
154	150	200	0	0	0	0	0	0	0	0	0	0	0	0
155	150	220	0	0	0	0	0	0	0	0	0	0	0	0
171	18	27	0	70104	0	0	0	0	0	0	0	0	0	0
172	23	34	0	70104	0	0	0	0	0	0	0	0	0	0
173	25	38	0	70104	0	0	0	0	0	0	0	0	0	0
174	30	45	0	70104	0	0	0	0	0	0	0	0	0	0
175	37	56	0	70104	0	0	0	0	0	0	0	0	0	0
176	47	70	0	70104	0	0	0	0	0	0	0	0	0	0
177	80	120	0	70105	0	0	0	0	0	0	0	0	0	0
178	32	49	0	70104	0	0	0	0	0	0	0	0	0	0
179	56	84	0	70105	0	0	0	0	0	0	0	0	0	0
180	44	67	0	70104	0	0	0	0	0	0	0	0	0	0
181	76	114	0	70105	0	0	0	0	0	0	0	0	0	0
182	61	92	0	70104	0	0	0	0	0	0	0	0	0	0
183	100	150	0	70105	0	0	0	0	0	0	0	0	0	0
184	59	88	0	70104	0	0	0	0	0	0	0	0	0	0
185	112	168	0	70105	0	0	0	0	0	0	0	0	0	0
191	232	348	0	70107	0	0	0	0	0	0	0	0	0	0
192	239	358	0	70107	0	0	0	0	0	0	0	0	0	0
193	253	380	0	70107	0	0	0	0	0	0	0	0	0	0
194	268	402	0	70107	0	0	0	0	0	0	0	0	0	0
301	64	97	0	70105	0	0	0	0	0	0	0	0	0	0
302	128	192	0	0	0	0	0	0	0	0	0	0	0	0
303	127	190	0	0	0	0	0	0	0	0	0	0	0	0
304	127	190	0	0	0	0	0	0	0	0	0	0	0	0
331	300	450	0	0	0	0	0	0	0	0	0	0	0	0
332	324	486	0	0	0	0	0	0	0	0	0	0	0	0
333	384	576	0	0	0	0	0	0	0	0	0	0	0	0
334	384	576	0	0	0	0	0	0	0	0	0	0	0	0
351	64	97	0	70105	0	0	0	0	0	0	0	0	0	0
352	128	192	0	0	0	0	0	0	0	0	0	0	0	0
353	127	190	0	0	0	0	0	0	0	0	0	0	0	0
354	127	190	0	0	0	0	0	0	0	0	0	0	0	0
391	199	298	0	70107	0	0	0	0	0	0	0	0	0	0
392	223	334	0	70107	0	0	0	0	0	0	0	0	0	0
393	239	358	0	70107	0	0	0	0	0	0	0	0	0	0
394	262	393	0	70107	0	0	0	0	0	0	0	0	0	0
395	199	298	0	70107	0	0	0	0	0	0	0	0	0	0
396	223	334	0	70107	0	0	0	0	0	0	0	0	0	0
397	239	358	0	70107	0	0	0	0	0	0	0	0	0	0
398	262	393	0	70107	0	0	0	0	0	0	0	0	0	0
401	78	117	0	70104	0	0	0	0	0	0	0	0	0	0
402	80	121	0	70104	0	0	0	0	0	0	0	0	0	0
403	171	256	0	0	0	0	0	0	0	0	0	0	0	0
404	136	204	0	70105	0	0	0	0	0	0	0	0	0	0
405	148	222	0	70105	0	0	0	0	0	0	0	0	0	0
406	156	234	0	70105	0	0	0	0	0	0	0	0	0	0
431	528	792	0	0	0	0	0	0	0	0	0	0	0	0
432	560	840	0	0	0	0	0	0	0	0	0	0	0	0
433	592	888	0	0	0	0	0	0	0	0	0	0	0	0
434	608	912	0	0	0	0	0	0	0	0	0	0	0	0
435	640	960	0	0	0	0	0	0	0	0	0	0	0	0
436	672	1008	0	0	0	0	0	0	0	0	0	0	0	0
451	78	117	0	70104	0	0	0	0	0	0	0	0	0	0
452	80	121	0	70104	0	0	0	0	0	0	0	0	0	0
453	171	256	0	0	0	0	0	0	0	0	0	0	0	0
454	136	204	0	70105	0	0	0	0	0	0	0	0	0	0
455	148	222	0	70105	0	0	0	0	0	0	0	0	0	0
456	156	234	0	70105	0	0	0	0	0	0	0	0	0	0
491	246	369	0	70107	0	0	0	0	0	0	0	0	0	0
492	282	423	0	70107	0	0	0	0	0	0	0	0	0	0
493	296	445	0	70107	0	0	0	0	0	0	0	0	0	0
494	340	510	0	70107	0	0	0	0	0	0	0	0	0	0
501	102	153	0	70104	0	0	0	0	0	0	0	0	0	0
